0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10691096	0.49266375	0.885284683	1.34604234	1.66918812	1.78560027	1.61433439	1.24701344	0.893524173	0.640238047	0.458750607	0.328709173	0.235530415	0.168764917	0.120925347	0.0866467974	0.0620851433	0.0444859491	0.0318755754	0.0228398478	0.0163654661	0.0117263689	0.00840231045	0.00602051852	0.00431389003	0.00309103727	0.00221482499	0.00158699145	0.00113712906	0.000814788579	0.000583821528	0.000418326405	0.000299743967	0.000214775938	0.000153893684	0.000110269643	7.90116519e-005	5.66143225e-005	4.05659347e-005	2.90667623e-005	2.08272453e-005	1.49233734e-005	1.06930643e-005
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.400662927	0.402058905	0.494355322	0.509023412	0.941377742	1.31148122	1.79933145	2.54118527	3.31772763	4.32728273	5.34917902	6.19269551	6.9666335	7.52219881	7.81717434	7.80054554	7.53595642	6.96809108	6.11414392	4.86673562	3.48716845	2.49866538	1.79037198	1.28285758	0.919207624	0.658641044	0.47193693	0.338157587	0.242300499	0.173615894	0.124401224	0.0891373722	0.0638697181	0.0457646528	0.0327918067	0.0234963562	0.0168358749	0.0120634315	0.00864382639	0.00619357225	0.00443788844	0.00317988602	0.0022784879	0.00163260792	0.00116981469	0.000838208855	0.00060060289	0.000430350776	0.000308359805	0.000220949455	0.000158317203	0.000113439233
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363737544	0.708370954	0.848972032	1.43225398	2.01812562	2.73856924	3.5391021	4.48752742	4.99957901	5.43721836	5.68881014	6.31774611	6.87003746	7.49504517	8.32499707	9.16582459	10.204569	11.2346031	12.0803771	12.8470089	13.4064796	13.7166237	13.7339021	13.497644	12.9892754	12.2099811	11.0547664	9.66381932	8.31400021	6.85907707	6.04290689	5.67538205	5.64323552	5.41888189	5.00316262	4.61914315	3.30976069	2.37154717	1.6992878	1.21759291	0.872443447	0.625133046	0.447927401	0.320954008	0.229973596	0.164783282	0.118072381	0.0846025579	0.0606203817	0.0434364015	0.0311235417	0.0223009921	0.0159793591	0.0114497111	0.00820407653	0.0058784777	0.00421211333	0.00301811109	0.00216257109
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11116205	2.8123417	4.15479399	5.0677372	6.10475389	6.96182426	7.89041759	8.78309544	9.72552436	10.306153	10.7799742	11.0512409	11.6972158	12.2812841	12.9300897	13.7688188	14.6166638	15.6441943	16.6525694	17.4803722	18.2258474	18.7799841	19.0989113	19.1431943	18.9375313	18.4843267	17.7744293	16.7075462	15.3697301	13.9994266	12.6526435	11.8420817	11.4600076	11.334879	11.036643	10.5698917	10.1305036	9.02378311	8.15296796	7.21986043	6.10658896	5.21545776	3.73703879	2.6777053	1.91865969	1.37477974	0.985072729	0.705835454	0.505753203	0.362388005	0.259662352	0.186056206	0.133315097	0.0955244411	0.0684462529	0.0490438833	0.035141478	0.0251799693	0.0180422364	0.0129278273
