0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352995483	0.638500132	1.22537536	1.69109211	1.76615266	1.26550368	0.906773008	0.649731252	0.465552785	0.333583148	0.23902277	0.171267299	0.122718382	0.250983296	0.17983739	0.386363299	1.13178536	2.0738235	2.78290439	3.35460836	3.80327903	4.01766585	4.04747388	3.91955253	3.51536962	2.79659849	2.00385038	1.43582154	1.02881109	0.737175357	0.528209225	0.378478448	0.271191658	0.194317314	0.13923444	0.0997658358	0.071485345	0.051221488	0.0367017999	0.0262979888	0.0188433324	0.0135018376	0.00967448942	0.00693207458	0.00496704849	0.00355904576	0.00255016772	0.00182727502	0.00130929977	0.000938154277	0.000672216914	0.000481664466	0.000345127671	0.000247294783	0.000177194455
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261305407	0.867469876	1.13266888	1.20796613	1.62043061	2.37198636	3.03379305	4.15353681	5.07915832	6.18299129	7.01428341	7.34612594	6.95224078	6.357344	5.62662884	5.31550688	4.97979821	4.83537534	4.93529893	4.80121567	5.26105423	5.52246501	5.97706477	6.89976419	7.93981615	8.74231914	9.40261634	9.88086854	10.1586577	10.2460936	10.1948542	9.87008538	9.2430405	8.18223866	7.03563958	6.04945585	5.77361573	5.75991757	5.79674967	5.47448794	5.11509015	4.53936156	3.56365753	2.5534722	1.82964278	1.31099634	0.939369925	0.673087964	0.482288601	0.345574883	0.247615224	0.177424061	0.127129895	0.0910925502	0.0652706644	0.0467684747	0.0335110765	0.0240117355	0.0172051603	0.0123280361	0.00883342385	0.00632942477
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00932996888	0.246901392	0.779616703	1.33960314	2.65983289	3.94974954	5.11612309	5.86791751	6.39379798	7.09242994	8.00977605	8.81681608	9.8600867	10.7818832	11.8988398	12.7302223	13.0541145	12.6683644	12.0408519	11.2895746	10.8743228	10.5154055	10.2726638	10.32078	10.2574486	10.7112831	11.0337589	11.5306855	12.4850015	13.5289422	14.3518827	15.0440703	15.5325745	15.8482907	15.9780342	15.9840332	15.7268209	15.1815254	14.2292291	13.1919954	12.2982798	12.0229229	12.0481291	12.1013505	11.8338899	11.4158265	10.8017876	9.90182119	8.73324082	6.86439042	4.91855066	3.52429555	2.52526811	1.80943367	1.29651588	0.928994221	0.665653447	0.476961537	0.341757875	0.244880218	0.175464344	0.125725696	0.0900863978	0.0645497247	0.0462518988	0.0331409337	0.0237465166
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64313395	2.19866873	3.50888415	4.79000114	5.89433209	7.55858302	9.10794029	10.3524313	11.2083861	11.8648918	12.6299799	13.5637302	14.3874969	15.3208861	16.1870448	17.2554117	18.0397929	18.3201895	17.9137572	17.2433567	16.4647526	15.9708816	15.5840611	15.2777356	15.2826547	15.2654357	15.7111271	16.0676557	16.5879937	17.5623201	18.6084136	19.447391	20.165779	20.6735669	21.0266245	21.19969	21.2589926	21.0675466	20.6017675	19.7528813	18.8208557	18.0207698	17.7711557	17.8345944	17.9122008	17.6957697	17.2679686	16.654759	15.8131834	14.6948736	12.8464777	10.3081091	7.38608294	5.29235969	3.79214142	2.71718806	1.94695032	1.39505087	0.999597626	0.716242997	0.513210533	0.367731416	0.263491074	0.188799604	0.135280828	0.0969329489	0.0694554929	0.0497670354
