0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226226782	0.162098572	0.116148703	0.0832241821	0.0596327322	0.0427287198	0.0306164656	0.500866653	0.467043158	0.334651046	0.239787953	0.171815576	0.12311124	0.0882130581	0.0632074181	0.0452900941	0.0324517705	0.0232527096	0.0166612945	0.0119383392	0.00855419383	0.00612934772	0.00439186955	0.00314691205	0.00225486101	0.00161567852	0.00115768424	0.000829517009	0.00059437491	0.000425888233	0.000305162254	0.00021865831	0.000156675525	0.000112262919	8.04398968e-005	5.76377047e-005	4.12992201e-005	2.95921843e-005	2.12037266e-005	1.5193134e-005	1.08863562e-005	7.80041508e-006	5.58924164e-006	4.00486664e-006	2.86961234e-006	2.05616709e-006	1.4733081e-006	1.05567138e-006	7.56421601e-007	5.41999761e-007	3.88359799e-007	2.78271956e-007	1.99390569e-007	1.42869586e-007	1.02370532e-007	7.33516912e-008	5.25587834e-008	3.7660014e-008	2.69845792e-008	1.93352959e-008
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242920847	0.930553264	1.72707011	2.04192305	2.93169083	3.90321689	3.96884022	3.94427435	4.2386176	4.65601345	4.93340591	5.27322977	5.8734903	6.0231827	5.48431338	4.53302737	3.44500203	2.62261857	1.87918832	1.34649727	0.964807453	0.691314749	0.495348663	0.354932827	0.254320483	0.182228589	0.13057249	0.0935592773	0.0670381516	0.0480349346	0.0344185347	0.0246619578	0.0176710649	0.0126618713	0.00907262724	0.00650082148	0.00465804214	0.00333763304	0.00239151857	0.00171359794	0.00122784658	0.000879790517	0.000630397452	0.000451699512	0.000323656844	0.000231910262	0.000166170964	0.000119066699	8.53150177e-005	6.11308815e-005	4.38021906e-005	3.1385641e-005	2.24887945e-005	1.61139254e-005	1.15461321e-005	8.27316516e-006	5.92798187e-006	4.24758462e-006	3.04352737e-006	2.18078266e-006	1.56259906e-006	1.11965115e-006	8.02265106e-007	5.74848068e-007	4.11896639e-007
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331416412	0.957773532	1.79349646	2.79258076	3.86258865	4.90950669	6.04855869	7.13706286	7.77780202	8.68413926	9.6145939	9.92034415	10.1049027	10.5160942	10.9466433	11.2542542	11.5668528	11.9854198	12.0627403	11.6017008	10.7527508	9.69527052	8.77229931	7.67779026	6.66478835	5.73624773	4.80478387	3.91207792	3.11601878	2.60976486	2.30177604	1.97669939	1.61894553	1.56366994	1.70293707	1.96980258	2.47209213	2.73747862	2.99588489	3.41928437	3.16746669	2.26958906	1.62623162	1.16524587	0.834935153	0.59825718	0.428670001	0.307155478	0.220086517	0.15769888	0.112996185	0.0809653049	0.058014176	0.0415689736	0.0297854711	0.0213422226	0.0152923708	0.0109574625	0.00785136494	0.00562574881	0.00403102517	0.00288835575	0.00206959733	0.00148293129	0.0010625667	0.000761362309	0.000545539933	0.000390896443	0.000280089541	0.000200692926
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47942146	1.89158244	3.54599377	5.12101405	6.61385674	8.04965401	9.37830744	10.621373	11.8243491	12.9347066	13.6586453	14.4912029	15.3285709	15.7334617	16.0148578	16.4656614	16.8779345	17.1814421	17.4594992	17.7519348	17.7726023	17.3491562	16.5562436	15.5207143	14.5411544	13.4934987	12.5567138	11.6829674	10.7961367	9.93438509	9.15177563	8.65562555	8.38581284	8.09847222	7.79312943	7.76977005	7.91950628	8.19411244	8.6242279	8.89430589	9.11532888	9.37120198	9.17017363	8.43419806	7.66171888	6.90710131	5.61584619	4.46930419	3.25592046	2.33296895	1.6716453	1.21395166	0.869834374	0.623263564	0.446587859	0.319994184	0.229285852	0.164290492	0.117719281	0.084349551	0.0604390943	0.0433065035	0.0310304657	0.0222343002	0.0159315723	0.0114154704	0.00817954195	0.00586089791	0.00419951686	0.00300908532	0.00215610385	0.00154491592
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.986286361	2.94960076	5.35737199	7.74427707	9.83466545	11.6759064	13.3340816	14.7847289	16.112944	17.3294834	18.4309832	19.1867381	19.9608452	20.7255964	21.1776111	21.5125743	21.9737495	22.3616428	22.6494044	22.8946434	23.1005766	23.0769176	22.6671757	21.9027981	20.883181	19.8746131	18.8628753	17.9758474	17.137513	16.2821197	15.4455049	14.6796176	14.1948821	13.9496816	13.6925536	13.4299992	13.4328499	13.5952894	13.8799521	14.2766897	14.5598807	14.7733589	14.9454376	14.7961266	14.1938263	13.4545254	12.6960571	11.5600161	10.4858279	9.36991125	8.29470782	7.49965314	6.99305781	6.41394495	5.49566797	3.93781818	2.82157002	2.02174326	1.44864235	1.0379976	0.743757782	0.532925738	0.381857978	0.273613197	0.196052423	0.140477699	0.10065667	0.0721236557	0.0516788576	0.0370295195	0.0265328102	0.0190115892	0.013622399
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74014913	3.23163217	6.20050983	9.26440243	12.114354	14.5209813	16.569248	18.3528431	19.8663853	21.2298795	22.4414468	23.5244926	24.288316	25.0178975	25.7264573	26.1969078	26.5619695	27.0175811	27.3786767	27.6446244	27.8583749	28.0016449	27.9406688	27.5295679	26.7765971	25.7676814	24.7455438	23.7615969	22.9079322	22.0927126	21.2601784	20.4443169	19.6959185	19.2226711	18.993922	18.7619705	18.5358937	18.5615067	18.738116	19.0345893	19.4212296	19.72322	19.9470725	20.0882146	19.9901631	19.4940313	18.8077365	18.07622	17.0652465	16.0688859	15.0456757	14.0761375	13.2905694	12.6991918	12.1244768	11.235345	9.62230379	6.89468195	4.94025549	3.53984774	2.53641174	1.81741843	1.30223721	0.933093734	0.668590876	0.479066297	0.343266001	0.245960838	0.176238642	0.126280505	0.0904839356	0.064834573	0.0464560015	0.0332871797
