0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062853173	0.0450362664	0.032269895	0.0544407909	0.0773727371	0.615112129	1.08954116	1.16798022	1.39114799	1.75810603	2.15521667	2.5098492	2.45596774	2.29553155	2.25184506	2.61264549	2.90727706	2.86146724	2.62930388	2.34451366	2.254836	2.15977391	2.1118396	1.75721067	1.65589206	1.64309374	1.22835125	0.880152135	0.630656562	0.451885173	0.323789875	0.232005584	0.166239265	0.119115638	0.0853500845	0.0611560079	0.0438201945	0.0313985414	0.022498038	0.0161205487	0.0115508779	0.00827656565	0.00593041843	0.00424933049	0.00304477835	0.00218167902	0.00156324133	0.00112011136	0.000802594858
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134710819	0.964438676	1.93983862	2.96646584	3.43948668	3.62179062	4.07666949	4.45439343	4.78310923	5.18741018	5.49034139	5.71123567	5.56316424	5.40207145	5.656456	5.85583521	6.31181735	6.72071227	6.96543803	7.29169449	7.71915464	8.10951684	8.4142548	8.41072621	8.31987036	8.30316957	8.56686557	8.783646	8.77546099	8.60061154	8.37439347	8.31351903	8.22246572	8.12966141	7.79926779	7.63385873	7.50215466	7.12533333	6.67948127	6.17457769	5.30630075	3.87730994	2.77821397	1.9906773	1.42638261	1.0220478	0.732329252	0.524736839	0.375990375	0.269408876	0.193039895	0.138319129	0.0991099868	0.0710154087	0.0508847639	0.0364605265	0.0261251089	0.0187194585	0.0134130781	0.00961089045
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320089252	0.229353972	1.04368896	2.68609019	4.54522196	6.18833701	7.59632608	8.38684112	8.87163616	9.47802696	9.98130622	10.4180889	10.8886173	11.2183329	11.4187896	11.1434408	10.9285686	11.2321066	11.4725684	11.8342777	12.1708088	12.4819724	12.8440665	13.2841914	13.6553095	13.9206495	13.9410103	13.887354	13.884188	14.0868211	14.2527954	14.2598001	14.1165457	13.9259092	13.8792476	13.7901845	13.67258	13.3611734	13.1635448	12.9686324	12.6223701	12.235661	11.7537784	10.9398504	9.51230591	7.70359045	5.51986376	3.95515522	2.83399255	2.0306444	1.45502029	1.0425676	0.747032326	0.535272051	0.383539184	0.274817834	0.196915583	0.141096181	0.101099831	0.0724411947	0.0519063842	0.0371925495	0.0266496262
