0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368245737	0.263859601	0.189063665	0.135470036	0.0970685224	0.0695526356	0.0498366411	0.0357095138	0.0255869847	0.0183338757	0.013136796	0.00941292564	0.00674465594	0.00483275716	0.00346282182	0.00248122026	0.001777872	0.00127390096	0.000912789922	0.000654042559	0.000468641972	0.000335796647	0.000240608811	0.000172403747	0.000123532683	8.8515035e-005	6.3423794e-005	4.54451343e-005	3.25628616e-005	2.33323099e-005	1.67183306e-005	1.19792073e-005	0.301616373	0.216117575	0.154855009	0.110958463	0.0795052128	0.0569679743	0.0408193373	0.0292483333	0.0209573466	0.015016595	0.0107598605	0.00770977694	0.00552429658
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12564923	2.67039236	3.08083035	2.58150112	1.84972638	1.32538687	0.949681188	0.680476306	0.487582579	0.349368185	0.250333243	0.179371607	0.128525373	0.0920924536	0.0659871265	0.0472818422	0.0338789204	0.0242753072	0.0173940177	0.0124633583	0.00893038645	0.00639890151	0.00458501328	0.00328530558	0.00235402431	0.00168673212	0.00120859638	0.000865997148	0.000620514071	0.000444617761	0.000318582547	0.00022827437	0.000163565733	0.602048425	0.609851416	0.436977634	0.313108157	0.224351798	0.160755088	0.115186054	0.0825344141	0.0591384919	0.0423745811	0.0303627141	0.0217558353	0.0155887372
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136837265	0.866474769	2.28351622	4.40427998	6.56551024	7.4874585	7.52432848	6.79914218	5.88407334	4.26816323	3.05827259	2.19134807	1.5701695	1.12507561	0.806151903	0.57763308	0.413892188	0.296566712	0.212499335	0.152262427	0.109100796	0.0781741365	0.228506224	0.163731864	0.117319007	0.0840627421	0.0602335868	0.0431592509	0.0309249546	0.0221586983	0.0158774011	0.011376655	0.00815172953	0.00584096944	0.00418523749	0.0029988537	0.809617158	1.01448304	0.726908863	0.52085296	0.373207454	0.267414826	0.191611096	0.13729535	0.0983764168	0.0704897829	0.0505081365	0.0361906612	0.0259317419
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12019894	2.83839033	4.70267062	6.8360636	9.29769358	11.6272701	12.7305129	13.0028143	12.5357307	11.6043825	10.072827	8.52881438	7.3559283	6.78102004	6.09543651	5.82247903	5.61194411	5.13195959	4.79596742	4.28667029	3.61656879	2.59138478	1.85680833	2.3332465	1.86036801	1.33301193	0.955144783	0.684391143	0.490387683	0.351378129	0.251773431	0.180403547	0.12926479	0.0926222692	0.0663667559	0.0475538586	0.0340738286	0.957575933	1.29262691	0.926207652	0.663656782	0.475530864	0.340732753	0.244145686	0.174938029	0.125348575	0.0898161786	0.0643561042	0.0461131637	0.0330415256
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97688409	5.9596576	8.71700593	11.4123351	14.1562745	16.6300588	17.8885428	18.3279166	18.0326163	17.099174	15.6220741	14.2016816	13.0360618	12.3268141	11.6586414	11.4062119	11.1745533	10.6835367	10.3248975	9.78919332	9.11283491	7.60845234	6.7070461	6.68009693	5.90292161	4.22962816	3.52374109	2.52487082	1.809149	1.31413071	0.941615798	0.674697202	0.48344167	0.452521745	0.356452972	0.255409715	0.183009058	1.1238848	1.51289892	1.08403945	0.776748207	0.556564411	0.398795827	0.285749696	0.204748604	0.146708786	0.105121439	0.0753228022	0.0539711462	0.0386720161
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63351338	5.87378503	9.70464191	13.047596	16.0991647	19.0110219	21.5602258	22.9178219	23.4491511	23.2498479	22.3086534	20.8539281	19.4931081	18.3141445	17.4900474	16.8088839	16.5375829	16.2635567	15.7476681	15.3511478	14.7846865	14.0853754	12.5748583	11.463151	10.978919	9.91111418	7.67511237	7.00639964	6.11635541	5.37236391	5.0352227	4.72566393	4.15444303	3.36313398	3.28308088	2.94635091	2.11115268	1.512707	2.08279244	2.24149446	1.60610097	1.15082163	0.824599731	0.590851526	0.423363618	0.303353288	0.217362129	0.155746771	0.111597438	0.0799630586	0.0572960352
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3844423	8.720028	13.2842846	17.1255593	20.4816167	23.5443092	26.1655874	27.6151962	28.2101198	28.0739892	27.1304369	25.6836279	24.3465229	23.1442339	22.2211398	21.5096343	21.1967487	20.8683283	20.3201304	19.8768448	19.2767429	18.5441824	17.0278937	15.7673644	14.9432702	13.655105	11.5029813	10.7335911	10.0084683	9.35886075	8.97436501	8.62280094	7.86176035	6.92686404	6.59456905	5.88407251	4.21612219	3.02098356	3.12791892	2.9824757	2.13703722	1.53125408	1.09719149	0.786172059	0.563316896	0.403634194	0.289216538	0.207232705	0.148488722	0.106396818	0.0762366516
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98992436	11.3262891	16.5599643	20.8512229	24.4849152	27.691224	30.3851945	31.9242364	32.5656068	32.4732992	31.529607	30.0807956	28.7451336	27.5132222	26.5017738	25.749734	25.3824977	24.9932487	24.4088344	23.9139165	23.278329	22.5066355	20.9834179	19.6149842	18.5404879	17.0874138	15.0063134	14.1717504	13.5600241	12.9849238	12.5549309	12.1383559	11.2143217	10.1492768	9.63948555	8.62480173	6.84399538	4.90393698	4.41075189	3.85353016	2.76117502	1.97846835	1.41763452	1.01577952	0.727837832	0.521518596	0.373684403	0.267756575	0.19185597	0.137470809	0.0985021392
